HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|HUVUDMANS NAMN|REKTORS NAMN|BARN- O FRITIDSPROGRAMMET|BYGG- O ANL. PROGRAMMET|EL- O ENERGIPROGRAMMET|FORDONS- O TRANSP. PROGRAMMET|HANDELS O ADM. PROGRAMMET|HANTVERKSPROGRAMMET|HOTELL O TURISMPROGRAMMET|INDUSTRITEKNISKA PROGRAMMET|NATURBRUKSPROGRAMMET|REST.- O LIVSMEDELSPROGRAMMET|VVS O FASTIGHETSPROGRAMMET|VÅRD O OMSORGSPROGRAMMET|EKONOMIPROGRAMMET|ESTETISKA PROGRAMMET|HUMANISTISKA PROGRAMMET|NATURVETENSKAPSPROGRAMMET|SAMHÄLLSVETENSKAPPROGRAMMET|TEKNIKPROGRAMMET|PREPARANDUTBILDNING|PROGRAMINRIKTAT IND. VAL|INDIVIDUELLT ALTERNATIV|SPRÅKINTRODUKTION|YRKESINTRODUKTION|FLYGTEKNIKUTBILDNINGEN|MARINTEKNIKUTBILDINGEN|SJÖFARTSUTBILDNINGEN|TÅGTEKNIKUTBILDNINGEN|UTBILDNINGEN SAMISKA NÄRINGAR|YRKESDANSARUTBILDNINGEN|VIDAREUTBILDING I FORM FJÄRDE TEKNISKT ÅR|ENDAST INTRODUKTIONSPROGRAM|ELEVER BARN O FRITID|ELEVER BYGG O ANL|ELEVER EL O ENERGI|ELEVER FORDON O TRANSP|ELEVER HANDEL O ADM|ELEVER HANTVERK|ELEVER HOTELL O TURISM|ELEVER INDUSTRITEKNISK|ELEVER NATURBRUK|ELEVER REST O LIVSMEDEL|ELEVER VVS O FASTIGHET|ELEVER VÅRD O OMSORG|TOTALT ANTAL ELEVER RIKSREKRYT UTB|ELEVER EKONOMI|ELEVER ESTETISK|ELEVER HUMANISTISK|ELEVER NATURVETENSKAP|ELEVER SAMHÄLLSVETENSKAP|ELEVER TEKNIK|ELEVER IB|ELEVER INTRO PREPARAND|ELEVER INTRO PROGRAMINR INDIVID|ELEVER YRKESINTRO|ELEVER INTRO INDIVID|ELEVER SPRÅKINTRO|TOTALT ANTAL ELEVER INTRODUKTIONSPROGRAM|ELEVER FLYGTEKNIKUTBILDNING|ELEVER MARINTEKNIKUTBILDNING|ELEVER SJÖFARTSUTBILDNING|ELEVER TÅGTEKNIKUTBILDNING|ELEVER UTB SAMISKA NÄRINGAR|ELEVER YRKESDANSARUTB|ELEVER VIDAREUTB FJÄRDE TEKNISKT ÅR|ELEVER TOTALT|INRIKTNING|JURIDISK FORM
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|67279263|Erik Dahlbergsgymnasiet Ro 1|Box 2264|55002|JÖNKÖPING|Föreningsgatan 2|55321|JÖNKÖPING|036-106219|http://www.ed.jonkoping.se|ed@jonkoping.se|JÖNKÖPINGS KOMMUN|Peter Enhörning|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|312|0|0|0|0|0|75|75|0|0|0|0|0|0|0|387||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|40037982|Erik Dahlbergsgymnasiet RO 2|Box 2264|55002|JÖNKÖPING|Föreningsgatan 2|55321|JÖNKÖPING|036-107694|http://www.ed.jonkoping.se|ed@jonkoping.se|JÖNKÖPINGS KOMMUN|Jane Wågman|N|N|N|N|N|N|N|N|N|N|N|J|J|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|161|0|160|0|0|0|1|0|0|0|19|16|1|0|36|0|0|0|0|0|0|0|358||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|51210136|Erik Dahlbergsgymnasiet RO 3|Box 2264|55002|JÖNKÖPING|Föreningsgatan 2|55321|JÖNKÖPING|036-105932|http://www.ed.jonkoping.se|ed@jonkoping.se|JÖNKÖPINGS KOMMUN|Jan Birgersson|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|368|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|370||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|73829818|Erik Dahlbergsgymnasiet RO 4|Box 2264|55002|JÖNKÖPING|Föreningsgatan 2|56232|JÖNKÖPING|036-107608|http://www.ed.jonkoping.se|ed@jonkoping.se|JÖNKÖPINGS KOMMUN|Margit Sandén|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|J|N|N|J|J|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|69|0|0|0|0|0|0|184|0|0|0|3|0|20|0|23|0|0|0|0|0|0|0|276||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|54395430|Grennaskolan GY|Box 95|56322|GRÄNNA|Borgmästargården|56322|GRÄNNA|0390-33208|http://www.grennaskolan.se|info@grennaskolan.se|JÖNKÖPINGS KOMMUN|Tf Anders Brage|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|16|28|0|48|0|0|0|0|0|0|0|0|0|0|0|0|0|92||Kommuner
Enskild|5566358759|06|Jönköpings län|0680|Jönköping|18881773|JENSEN Gymnasium Jönköping|Östra Storgatan 7|55312|JÖNKÖPING|Östra Storgatan 7|55312|JÖNKÖPING|036-2902250|http://www.jensengymnasium.se|louise.hultman@jenseneducation.se|JENSEN EDUCATION COLLEGE AB|Louise Hultman|N|N|N|N|J|N|N|N|N|N|N|N|J|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|31|0|0|0|0|0|0|0|0|22|0|0|0|21|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|75|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|8260017648|06|Jönköpings län|0680|Jönköping|50908408|Kungsgymnasiet|Kortebo gård 7|55594|JÖNKÖPING|Kortebo gård 7|55594|JÖNKÖPING|036-379514|http://www.kungsgymnasiet.se|info@kungsgymnasiet.se|JÖNKÖPINGS KRISTNA SKOLFÖRENING|Andreas Alnervik|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|29|0|0|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|41|Konfessionell|Ideella föreningar
Enskild|5564851649|06|Jönköpings län|0680|Jönköping|18594470|LBS Ljud & Bildskolan Jönköping|Västra Storgatan 12|55315|JÖNKÖPING|Västra Storgatan 12|55315|JÖNKÖPING|036-300610|http://www.lbs.se|jonkoping@lbs.se|LJUD & BILDSKOLAN LBS AB|Marcus Persson|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|108|0|0|0|138|0|1|0|0|0|0|1|0|0|0|0|0|0|0|247|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5564891447|06|Jönköpings län|0680|Jönköping|69271071|Magelungens Gymnasium Jönköping|Huskvarnavägen 38|55454|JÖNKÖPING|Huskvarnavägen 38|55454|JÖNKÖPING||http://www.magelungen.com|erik.backlund@magelungen.com|Magelungen Utveckling AB|Erik Backlund|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|J|N|J|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|0|4|0|0|12|0|16|0|0|0|0|0|0|0|20|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|54946505|Mottagningsskola gymn|Stenhuggargatan 25|55323|JÖNKÖPING|Stenhuggargatan 25|55323|JÖNKÖPING|036-107434|http://www.jonkoping.se|helena.rossler@jonkoping.se|JÖNKÖPINGS KOMMUN|Håkan Andersson|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|78295411|Per Brahegymnasiet RO 1|Residensgatan 7|55316|JÖNKÖPING|Residensgatan 7|55316|JÖNKÖPING|036-106280|http://www.pb.edu.jonkoping.se|perbrahe@jonkoping.se|JÖNKÖPINGS KOMMUN|Marie-Louise Hahn Hallebrink|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|J|N|J|N|N|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|27|0|322|0|0|6|0|0|0|50|56|0|0|0|0|0|0|0|406||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|80686587|Per Brahegymnasiet RO 2|Residensgatan 7|55316|JÖNKÖPING|Residensgatan 7|55316|JÖNKÖPING|036-105492|http://www.pb.edu.jonkoping.se|perbrahe@jonkoping.se|JÖNKÖPINGS KOMMUN|Anders Brage|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|32|0|0|0|0|0|0|0|0|0|99|0|0|145|0|2|0|0|0|2|0|0|0|0|0|0|0|278||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|72232853|Per Brahegymnasiet RO 3|Residensgatan 7|55316|JÖNKÖPING|Residensgatan 7|56331|JÖNKÖPING|036-106308|http://www.pb.edu.jonkoping.se|perbrahe@jonkoping.se|JÖNKÖPINGS KOMMUN|Johan Junevik Gustafsson|N|N|N|N|N|N|J|N|N|N|N|N|N|J|N|N|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|34|0|0|0|0|0|0|0|330|0|0|0|0|0|1|2|0|0|0|3|0|0|0|0|0|0|0|367||Kommuner
Enskild|5565789129|06|Jönköpings län|0680|Jönköping|12279302|Plusgymnasiet i Jönköping|Batterigatan 19|55305|JÖNKÖPING|Batterigatan 19|55305|JÖNKÖPING|036-715700|http://www.plusgymnasiet.se|jonkoping@plusgymnasiet.se|Plusgymnasiet AB|Tobias Alderhammar|J|N|N|N|N|J|N|N|N|N|N|J|J|J|N|N|J|N|J|J|N|J|J|N|N|N|N|N|N|N|N|34|0|0|0|0|64|0|0|0|0|0|102|0|46|16|0|0|57|0|0|2|0|0|0|0|2|0|0|0|0|0|0|0|321|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5562575786|06|Jönköpings län|0680|Jönköping|17849518|Praktiska Jönköping|Ekhagsringen 17|55456|JÖNKÖPING|Ekhagsringen 17|55456|JÖNKÖPING|036-301520|http://www.praktiska.se|olof.gustavsson@vindora.se|Praktiska Sverige AB|Olof Gustavsson|N|J|N|J|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|37|0|19|0|11|0|0|0|12|0|0|0|0|0|0|0|0|0|0|0|23|6|0|0|29|0|0|0|0|0|0|0|108|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|62177293|Sandagymnasiet RO 1|Birkagatan 42|56133|HUSKVARNA|Birkagatan 42|56133|HUSKVARNA|036-102556|http://www.sa.edu.jonkoping.se|sandagymnasiet@jonkoping.se|JÖNKÖPINGS KOMMUN|Rickard Sahlin|N|N|N|N|J|N|N|N|N|N|N|N|J|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|87|0|0|0|0|0|0|0|0|370|0|0|0|1|0|0|0|1|29|0|0|30|0|0|0|0|0|0|0|488||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|20323435|Sandagymnasiet RO 2|Birkagatan 42|56311|HUSKVARNA|Birkagatan 42|56133|HUSKVARNA|036-106472|http://www.sa.edu.jonkoping.se|sandagymnasiet@jonkoping.se|JÖNKÖPINGS KOMMUN|Thony Kankare|J|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|145|0|0|0|0|0|0|0|0|0|0|0|0|29|0|0|0|183|0|0|0|0|32|0|0|32|0|0|0|0|0|0|0|389||Kommuner
Kommunal|2120000530|06|Jönköpings län|0680|Jönköping|46137123|Sandagymnasiet RO 4|Birkagatan 42|56133|HUSKVARNA|Birkagatan 42|56191|HUSKVARNA|036-102557|http://www.sa.edu.jonkoping.se|sandagymnasiet@jonkoping.se|JÖNKÖPINGS KOMMUN|Carin Rosjö|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|99|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|99||Kommuner
Landsting|2321000057|06|Jönköpings län|0680|Jönköping|78659008|Tenhults naturbruksgymnasium|Huskvarnavägen 28|56030|TENHULT|Tenhults naturbruksgymnasium|56030|TENHULT|010-2426800|http://www.rjl.se/tenhultsnaturbruksgymnasium|tenhults.naturbruksgymnasium@rjl.se|JÖNKÖPINGS LÄNS LANDSTING|Ola Lundmark|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|J|J|N|J|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|126|0|0|0|0|0|0|0|0|0|0|0|0|20|32|0|0|52|0|0|0|0|0|0|0|178||Landsting
Enskild|5567507420|06|Jönköpings län|0680|Jönköping|12448823|Vettergymnasiet Jönköping|Box 667|55119|JÖNKÖPING|Klostergatan 38|55335|JÖNKÖPING|073-2061720|http://www.vettergymnasiet.se|info@vettergymnasiet.se|Wetterbygdens Gymnasium AB|Issa Bebinno|J|N|J|N|N|N|N|N|N|N|N|N|J|N|N|N|J|J|J|J|J|J|J|N|N|N|N|N|N|N|N|11|0|30|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|41|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000548|06|Jönköpings län|0682|Nässjö|96383883|Brinellgymnasiet 1|Brinellgatan 52|57135|NÄSSJÖ|Brinellgatan 52|57135|NÄSSJÖ|0380-518850|http://www.brinellgymnasiet.se|bukontoret@nassjo.se|NÄSSJÖ KOMMUN|Rose-Marie Davidsson|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|J|N|J|N|J|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|42|2|0|144|0|0|17|0|16|14|102|149|0|0|0|0|0|0|0|337||Kommuner
Kommunal|2120000548|06|Jönköpings län|0682|Nässjö|39199869|Brinellgymnasiet 2|Brinellgatan 52|57135|NÄSSJÖ|Brinellgatan 52|57135|NÄSSJÖ|0380-518850|http://www.brinellgymnasiet.se|bukontoret@nassjo.se|NÄSSJÖ KOMMUN|Bengt Larsson|N|N|J|N|N|N|N|J|N|N|J|N|N|N|N|J|N|J|N|J|J|N|N|N|N|N|N|N|N|N|N|0|0|63|0|0|0|0|20|0|0|6|0|0|0|0|0|78|0|112|0|0|11|0|1|0|12|0|0|0|0|0|0|0|291||Kommuner
Kommunal|2120000548|06|Jönköpings län|0682|Nässjö|62216381|Brinellgymnasiet 3|Brinellgatan 52|57135|NÄSSJÖ|Brinellgatan 52|57135|NÄSSJÖ|0380-518850|http://www.brinellgymnasiet.se|bukontoret@nassjo.se|NÄSSJÖ KOMMUN|Linda Davidsson|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|109|0|0|0|61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|0|0|0|14|0|0|0|0|0|0|0|184||Kommuner
Kommunal|2120000548|06|Jönköpings län|0682|Nässjö|31179045|Brinellgymnasiet 4|Brinellgatan 52|57135|NÄSSJÖ|Brinellgatan 52|57135|NÄSSJÖ|0380-518850|http://www.brinellgymnasiet.se|bukontoret@nassjo.se|NÄSSJÖ KOMMUN|Anders Crona|J|N|N|N|J|N|N|N|N|N|N|J|J|N|N|N|N|N|N|J|J|N|N|N|N|N|N|N|N|N|N|72|0|0|0|32|0|0|0|0|0|0|77|0|118|0|0|0|0|0|0|0|31|0|2|0|33|0|0|0|0|0|0|0|332||Kommuner
Kommunal|2120000555|06|Jönköpings län|0683|Värnamo|16577552|Finnvedens Gymnasium 1|Prostgårdsvägen|33183|VÄRNAMO|Prostgårdsvägen|33131|VÄRNAMO|0370-377344|http://www.varnamo.se/utbildningbarnomsorg|gymnasiet@varnamo.se|VÄRNAMO KOMMUN|Anette Sternevi|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|J|J|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11|22|33|10|68|144|0|0|0|0|0|0|0|144||Kommuner
Kommunal|2120000555|06|Jönköpings län|0683|Värnamo|36355200|Finnvedens Gymnasium 2|Prostgårdsvägen|33183|VÄRNAMO|Prostgårdsvägen|33012|VÄRNAMO|0370-377344|http://www.varnamo.se/utbildningbarnomsorg|gymnasiet@varnamo.se|VÄRNAMO KOMMUN|Thomas Dahlgren|J|N|N|N|N|N|N|N|N|N|N|J|N|J|J|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|39|0|0|0|0|0|0|0|0|0|0|54|0|0|3|17|0|173|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|286||Kommuner
Kommunal|2120000555|06|Jönköpings län|0683|Värnamo|96920524|Finnvedens Gymnasium 3|Prostgårdsvägen|33183|VÄRNAMO|Prostgårdsvägen|33196|VÄRNAMO|0370-377344|http://www.varnamo.se/utbildningbarnomsorg|gymnasiet@varnamo.se|VÄRNAMO KOMMUN|Annlouise Lidén|N|J|N|N|J|J|N|N|N|J|J|N|J|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|0|53|0|0|42|1|0|0|0|22|3|0|0|146|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|267||Kommuner
Kommunal|2120000555|06|Jönköpings län|0683|Värnamo|18217765|Finnvedens Gymnasium 4|Prostgårdsvägen|33183|VÄRNAMO|Prostgårdsvägen|33150|VÄRNAMO|0370-377344|http://www.varnamo.se/utbildningbarnomsorg|gymnasiet@varnamo.se|VÄRNAMO KOMMUN|Svante Leo|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|J|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|40|54|0|0|0|0|0|0|0|0|0|0|0|0|179|0|85|0|0|0|0|0|0|0|0|0|0|0|0|0|0|358||Kommuner
Enskild|5567560635|06|Jönköpings län|0683|Värnamo|60919765|Lichron Teknikgymnasium Värnamo|Postgatan 3|33130|VÄRNAMO|Postgatan 3|33130|VÄRNAMO|070-1907628|http://www.lichron.se|utbildning@lichron.se|Lichron Teknik AB|Elvira Zahirovic|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|21|0|0|0|0|0|0|0|0|0|0|0|0|0|2|3|0|0|5|0|0|0|0|0|0|0|26|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000563|06|Jönköpings län|0684|Sävsjö|37912396|Aleholm||57680|SÄVSJÖ|Hjärtlandavägen 9|57633|SÄVSJÖ|0382-15391|http://www.savsjo.se|aleholm@savsjo.se|SÄVSJÖ KOMMUN|Johnas Stranne|J|J|N|N|N|N|N|J|N|J|N|J|J|N|N|J|J|J|N|J|J|J|N|N|N|N|N|N|N|N|N|1|0|0|0|0|0|0|14|0|12|0|24|0|8|0|0|45|49|47|0|0|5|13|17|61|96|0|0|0|0|0|0|0|296||Kommuner
Kommunal|2120000571|06|Jönköpings län|0685|Vetlanda|61119556|Njudungsgymnasiet 1|Box 106|57422|VETLANDA|Norrvägen 6|57434|VETLANDA|0383-97550|http://www.njudungsgymnasiet.se|njudungsgymnasiet@vetlanda.se|VETLANDA KOMMUN|Stefan Elg|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|J|J|J|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120000571|06|Jönköpings län|0685|Vetlanda|82251333|Njudungsgymnasiet 2|Box 106|57422|VETLANDA|Norrvägen 6|57434|VETLANDA|0383-97550|http://www.njudungsgymnasiet.se|njudungsgymnasiet@vetlanda.se|VETLANDA KOMMUN|Daniel Björketun|N|J|N|J|N|J|N|N|N|N|J|N|N|N|N|J|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|58|0|0|0|0|31|0|0|24|0|0|1|0|0|71|0|1|0|0|9|1|0|0|10|0|0|0|0|0|0|0|196||Kommuner
Kommunal|2120000571|06|Jönköpings län|0685|Vetlanda|99864908|Njudungsgymnasiet 3|Box 106|57422|VETLANDA|Norrvägen 6|57434|VETLANDA|0383-97550|http://www.njudungsgymnasiet.se|njudungsgymnasiet@vetlanda.se|VETLANDA KOMMUN|Andreas Fanemo|N|N|N|N|N|N|N|N|N|N|N|J|N|J|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|45|0|0|23|0|0|0|0|0|1|10|27|29|69|136|0|0|0|0|0|0|0|204||Kommuner
Kommunal|2120000571|06|Jönköpings län|0685|Vetlanda|27106031|Njudungsgymnasiet 4|Box 106|57422|VETLANDA|Norrvägen 6|57434|VETLANDA|0383-97550|http://www.njudungsgymnasiet.se|njudungsgymnasiet@vetlanda.se|VETLANDA KOMMUN|Susanne Tornert|N|N|N|N|J|N|N|N|N|J|N|N|J|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|1|0|0|0|0|23|0|0|0|127|0|0|0|113|0|0|0|3|0|1|0|4|0|0|0|0|0|0|0|268||Kommuner
Kommunal|2120000571|06|Jönköpings län|0685|Vetlanda|59463950|Njudungsgymnasiet 5|Box 106|57422|VETLANDA|Norrvägen 6|57434|VETLANDA|0383-97550|http://www.njudungsgymnasiet.se|njudungsgymnasiet@vetlanda.se|VETLANDA KOMMUN|Mikael Lindén|N|N|J|N|N|N|N|J|N|N|N|N|N|N|N|N|N|J|N|J|N|N|N|N|N|N|N|N|N|J|N|0|94|0|39|0|18|0|0|0|0|0|0|0|0|0|0|0|0|114|0|0|4|0|2|0|6|0|0|0|0|0|0|0|271||Kommuner
Kommunal|2120000589|06|Jönköpings län|0686|Eksjö|34153869|Eksjö Gymnasium 1||57580|EKSJÖ|Läroverksgatan 8|57531|EKSJÖ|0381-36330|http://www.eksjogymnasium.se|eksjo.gyinfo@eksjo.se|EKSJÖ KOMMUN|Anette Lindblom|N|N|N|N|J|N|N|N|N|N|N|J|J|N|J|J|J|N|J|J|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|11|0|0|0|0|0|0|37|0|35|0|13|90|66|0|0|1|5|0|0|0|6|0|0|0|0|0|0|0|258||Kommuner
Kommunal|2120000589|06|Jönköpings län|0686|Eksjö|88259298|Eksjö Gymnasium 2||57580|EKSJÖ|Läroverksgatan 8|57531|EKSJÖ|0381-36330|http://www.eksjogymnasium.se|eksjo.gyinfo@eksjo.se|EKSJÖ KOMMUN|Anna Ullman|N|N|J|N|N|N|N|J|N|N|N|N|N|J|N|J|N|J|J|J|J|J|N|N|N|N|N|N|N|N|N|0|0|14|0|0|0|0|10|0|0|0|0|0|0|25|0|1|0|54|0|19|23|9|12|40|103|0|0|0|0|0|0|0|207||Kommuner
Kommunal|2120000589|06|Jönköpings län|0686|Eksjö|73098153|Eksjö Gymnasium 3|Eksjö kommun|57580|EKSJÖ|Läroverksgatan 8|57531|EKSJÖ|0381-36337|http://www.eksjogymnasium.se|tomas.eliasson@eksjo.se|EKSJÖ KOMMUN|Tomas Eliasson|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||Kommuner
Enskild|5565848537|06|Jönköpings län|0686|Eksjö|44240250|Nifsarpsskolan fri|Nifsarpsvägen 4|57596|EKSJÖ|Nifsarpsvägen 4|57596|EKSJÖ|0381-13203|http://www.nifsarpsskolan.se|nifsarpsskolan@nifsarp.se|EKSJÖ FORDONSUTBILDNING AB|Sofia Arebo|N|J|N|J|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|44|0|140|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17|0|0|0|17|0|0|0|0|0|0|0|201|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000597|06|Jönköpings län|0687|Tranås|76342612|Holavedsgymnasiet AAF||57382|TRANÅS|Falkgatan 14|57335|TRANÅS|0140-68502|http://www.tranas.se|holavedsgymnasiet@tranas.se|TRANÅS KOMMUN|Annika Fast|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|J|J|J|N|N|N|N|N|N|N|J|0|0|0|0|0|0|0|0|0|17|0|0|0|0|67|0|0|0|0|0|1|3|2|0|0|6|0|0|0|0|0|0|0|90||Kommuner
Kommunal|2120000597|06|Jönköpings län|0687|Tranås|99394620|Holavedsgymnasiet ASB||57382|TRANÅS|Falkgatan 14|57335|TRANÅS|0140-68502|http://www.ho.tranas.se|holavedsgymnasiet@tranas.se|TRANÅS KOMMUN|Anders Berg|N|J|N|N|N|N|N|N|N|N|J|N|N|N|N|J|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|46|0|0|0|0|0|0|0|0|4|0|0|0|0|0|87|0|61|0|0|0|0|0|0|0|0|0|0|0|0|0|0|198||Kommuner
Kommunal|2120000597|06|Jönköpings län|0687|Tranås|95368476|Holavedsgymnasiet CAX||57382|TRANÅS|Falkgatan 14|57340|TRANÅS|0140-68502|http://www.tranas.se|holavedsgymnasiet@tranas.se|TRANÅS KOMMUN|Cecilia Axelsson|N|N|J|J|N|J|N|J|N|N|N|N|N|J|N|N|J|N|N|J|N|N|N|N|N|N|N|N|N|N|N|47|0|25|12|0|14|0|23|0|0|0|0|0|0|0|0|0|1|0|0|0|4|16|0|0|20|0|0|0|0|0|0|0|142||Kommuner
Kommunal|2120000597|06|Jönköpings län|0687|Tranås|14853321|Holavedsgymnasiet TYM||57382|TRANÅS|Falkgatan 14|57335|TRANÅS|0140-68502|http://www.tranas.se|holavedsgymnasiet@tranas.se|TRANÅS KOMMUN|Tommy Söderström|J|N|N|N|J|N|N|N|N|J|N|J|J|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|0|0|1|0|32|0|0|0|0|0|0|0|0|70|0|0|0|120|1|0|9|1|1|6|70|87|0|0|0|0|0|0|0|311||Kommuner
