HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|FKLASS|ÅR1|ÅR2|ÅR3|ÅR4|ÅR5|ÅR6|ÅR7|ÅR8|ÅR9|HUVUDMANS NAMN|REKTORS NAMN|ELEVAR FKLASS|ELEVER ÅR1|ELEVER ÅR2|ELEVER ÅR3|ELEVER ÅR4|ELEVER ÅR5|ELEVER ÅR6|ELEVER ÅR7|ELEVER ÅR8|ELEVER ÅR9|INRIKTNING|JURIDISK FORM
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|30158985|Länna skola|Uppsala kommun|75375|UPPSALA|Länna|74011|LÄNNA|0174-270049|http://www.funboskola.uppsala.se|lannaskolan@uppsala.se|J|J|J|J|N|N|N|N|N|N|UPPSALA KOMMUN|Kerstin Lindén|13|10|7|7|0|0|0|0|0|0||Kommuner
Enskild|5564891447|03|Uppsala län|0380|Uppsala|39922552|Magelungens Grundskola Uppsala|Slottsgränd 6|75309|UPPSALA|Slottsgränd 6|75309|UPPSALA|076-3099935|http://www.magelungen.com|asa.bergstrom@magelungen.com|N|N|N|N|N|N|J|J|J|J|Magelungen Utveckling AB|Åsa Bergström|0|0|0|0|0|0|0|1|0|1|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|43235171|Malmaskolan|Uppsala kommun|75375|UPPSALA|Björkhagsvägen 6|75646|UPPSALA|018-7275454|http://www.malmaskolan.uppsala.se|malmaskolan@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Eva MC Carthy- Öst|56|56|56|54|57|62|36|0|0|0||Kommuner
Enskild|8176031253|03|Uppsala län|0380|Uppsala|64800703|Manar Al-Houda Sv-arab.skola|Mana Al-Houda, Linrepev. 17|75648|UPPSALA|Linrepevägen 17|75648|UPPSALA|018-531513|http://www.manaralhouda.se|alhouda@telia.com|J|J|J|J|J|J|J|N|N|N|INTEGRATIONSFÖRENING F INVANDRARE OCH FLYKTINGAR|Martin Runtorp|16|13|9|10|7|6|6|0|0|0|Allmän|Ideella föreningar
Enskild|8176032319|03|Uppsala län|0380|Uppsala|58103420|Musiklådan|Flöjtvägen 6|75654|UPPSALA|Flöjtvägen 6|75654|UPPSALA|018-404630|http://www.musikladan.se|rektor@musikladan.se|J|J|J|J|J|J|J|N|N|N|FÖRÄLDRAFÖRENINGEN VID MUSIKLÅDAN|Erika Tilly-Segerstedt|26|21|24|21|17|17|14|0|0|0|Allmän|Ideella föreningar
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|29677535|Nannaskolan|Uppsala kommun|75375|UPPSALA|Kungsgatan 22|75331|UPPSALA|018-7272799|http://www.uppsala.se|nannaskolan@uppsala.se|N|N|N|N|N|N|J|J|J|J|UPPSALA KOMMUN|Henrik Ljungblom|0|0|0|0|0|0|79|107|118|115||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|30054341|Nåntunaskolan|Uppsala kommun|75375|UPPSALA|Vävstolsvägen 9|75757|UPPSALA|018-7275310|http://www.nantunaskolan.uppsala.se|nantunaskolan@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Karen Natvig|29|28|31|30|29|26|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|40275917|Palmbladsskolan|Uppsala kommun|75375|UPPSALA|Palmbladsgatan 14|75450|UPPSALA|018-7276467|http://palmbladsskolan.uppsala.se|palmbladsskolan@uppsala.se|N|N|N|N|N|N|J|J|J|J|UPPSALA KOMMUN|Ulrika Mattsson|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|74661728|Pluggparadiset|Uppsala kommun|75375|UPPSALA|Fullerövägen 5 B|75375|UPPSALA|018-7277736|http://www.pluggparadiset.uppsala.se|pluggparadiset@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Ragni Åkerlund|57|76|52|52|49|54|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|72049334|Ramsta skola|Uppsala kommun|75375|UPPSALA|Ramstalund|75591|UPPSALA|018-7278107|http://www.ramstaskola.uppsala.se|ramstaskola@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Lena Holmberg|52|49|44|43|32|38|19|0|0|0||Kommuner
Enskild|5566740113|03|Uppsala län|0380|Uppsala|56867001|Raoul Wallenbergskolan Uppsala|Kungsgatan 18|75321|UPPSALA|Kungsgatan 18|75321|UPPSALA|070-7789664|http://www.raoulwallenbergskolan.se|christer.fernqvist@raoulwallenbergskolan.se|N|N|N|N|J|J|J|J|J|J|Raoul Wallenbergskolorna AB|Christer Fernqvist|0|0|0|0|0|0|47|47|43|55|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5565990545|03|Uppsala län|0380|Uppsala|49262000|Samsaskolan grundskola|Skogstibble|74020|VÄNGE|Skogstibble|74020|VÄNGE|070-2850056|http://www.samsa.nu|info@samsa.nu|N|N|N|N|N|N|N|J|J|J|Attendo Samsa AB|Lage Nilsson|0|0|0|0|0|0|0|1|8|9|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|28248660|Skuttunge skola|Uppsala kommun|75375|UPPSALA|Skuttungeby|74371|BJÖRKLINGE|018-7277953|http://www.skuttungeskola.uppsala.se|skuttunge.skola@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Kristina Söderlund|14|19|8|8|13|9|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|54326087|Skyttorps skola|Uppsala kommun|75375|UPPSALA|Gullsjövägen 4|74394|SKYTTORP|018-7277829|http://www.vattholmaskolan.uppsala.se|skyttorpsskola@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Katarina Östlund|15|23|15|9|8|12|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|72802066|Stavby skola|Uppsala kommun|75375|UPPSALA|Stavby 108|74794|ALUNDA|0174-270102|http://www.stavby-skola.uppsala.se|stavby.skola@uppsala.se|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Caroline Sedin|8|15|9|17|18|15|16|6|14|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|95132430|Stordammen|Uppsala kommun|75375|UPPSALA|Västgötaresan 131|75754|UPPSALA|018-7275275|http://www.stordammen.nu|stordammen.skola@uppsalaskolor.net|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Gabriella Ekström-Filipsson|39|43|41|36|33|32|47|33|37|25||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|21818354|Storvretaskolan|Uppsala kommun|75375|UPPSALA|Ärentunavägen 8|74330|STORVRETA|018-7276760|http://www.storvretaskolan.uppsala.se|storvretaskolan@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Ouit Määttä|81|73|82|75|56|71|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|99536619|Sunnerstaskolan|Uppsala kommun|75375|UPPSALA|Dag Hammarskjölds väg 239|75652|UPPSALA|018-7276181|http://www.sunnerstaskolan.uppsala.se|skola.sunnersta@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Bengt Stenberg|111|107|100|98|88|84|10|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|21969379|Sverkerskolan|Sysslomansgatan 34|75227|UPPSALA|Sysslomansgatan 34|75227|UPPSALA|018-7276448|http://skola.uppsala.se/sv/Sverkerskolan/Sverkerskolan/|sverkerskolan@uppsala.se|J|J|J|J|J|N|N|N|N|N|UPPSALA KOMMUN|Johanna Wallin|84|83|83|77|63|0|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|53847396|Tiundaskolan|Uppsala kommun|75375|UPPSALA|Götgatan 17-21|75222|UPPSALA|018-7276452|http://skola.uppsala.se/sv/Tiundaskolan/Tiundaskolan|tiundaskolan@uppsala.se|N|N|N|N|N|J|J|J|J|J|UPPSALA KOMMUN|Torbjörn Kättström|0|0|0|0|0|0|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|30655993|Treklangen|Uppsala kommun|75375|UPPSALA|Valthornsvägen 17|75650|UPPSALA|018-7276211|http://www.gottsundaskolan.uppsala.se|gottsundaskolan@uppsalaskolor.net|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Marie-Louise von Scheele Lindquist|42|45|30|26|48|35|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|26666728|Tuna skola|Uppsala kommun|75375|UPPSALA|Tuna 65|74793|ALUNDA|0174-270108|http://www.tunaskola.uppsala.se|tuna.skola@uppsala.se|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Michael Tallberg|16|12|10|10|15|6|15|13|5|15||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|54742485|Tunabergsskolan|Uppsala kommun|75375|UPPSALA|Väpnargatan 19|75336|UPPSALA|018-7276600|http://www.tunabergsskolan.uppsala.se|tunabergsskolan@uppsala.se|N|N|N|N|N|N|J|J|J|J|UPPSALA KOMMUN|Lena Engebrand Nikou|0|0|0|0|0|0|114|134|148|125||Kommuner
Enskild|8176052770|03|Uppsala län|0380|Uppsala|43465597|Uppsala Enskilda Skola|Dag Hammarskjölds väg 34 B|75183|UPPSALA|Dag Hammarskjölds väg 34 B|75183|UPPSALA|018-102112|http://www.uppsalaenskildaskola.com|malin.olsson@uppsalaenskildaskola.com|J|J|J|J|J|J|N|N|N|N|STIFTELSEN LITEN LÄR|Malin Olsson|44|42|27|30|12|16|0|0|0|0|Allmän|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Enskild|5565527354|03|Uppsala län|0380|Uppsala|60186012|Uppsala Montessoriskola|Djäknegatan 29|75425|UPPSALA|Djäknegatan 29|75425|UPPSALA|018-241298|http://www.uppsalamontessori.se|info@uppsalamontessori.se|J|J|J|J|J|J|J|N|N|N|UPPSALA MONTESSORISKOLA AB|Eva Löwling|25|15|18|13|10|6|2|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|8176054917|03|Uppsala län|0380|Uppsala|89387408|Uppsala Musikklasser|Seminariegatan 1|75228|UPPSALA|Seminariegatan 1|75228|UPPSALA|018-7513007|http://www.uppsalamusikklasser.se|info@uppsalmusikklasser.se|N|N|N|J|J|J|J|J|J|J|STIFTELSEN UPPSALA MUSIKKLASSER|Annie Åberg|0|0|0|52|59|60|87|91|77|77|Allmän|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Enskild|8176031154|03|Uppsala län|0380|Uppsala|69405762|Uppsala waldorfskola|Hågavägen 69|75263|UPPSALA|Hågavägen 69|75263|UPPSALA|018-460096|http://www.uppsalawaldorfskola.nu|skolan@uppsalawaldorfskola.nu|J|J|J|J|J|J|J|J|J|J|STIFTELSEN UPPSALA WALDORFSKOLA|Anki Högberg|9|11|8|14|8|13|13|14|15|17|Waldorf|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|92938213|Uppsävjaskolan|Uppsala kommun|75375|UPPSALA|Akademivägen 2|75756|UPPSALA|018-7277410|http://www.uppsavjaskolan.uppsala.se|uppsavjaskolan@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Katarina Lehrberg|56|74|79|80|55|41|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|28006480|Vaksalaskolan|Uppsala kommun|75375|UPPSALA|Vaksala Torg 1|75237|UPPSALA|018-7275065|http://www.vaksalaskolan.uppsala.se|vaksalaskolan@uppsala.se|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Ingrid Ribbe Gustafsson|53|47|47|28|22|27|29|87|87|123||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|56446888|Valsätraskolan|Uppsala kommun|75375|UPPSALA|Slädvägen 2|75647|UPPSALA|018-7276230|http://www.valsatraskolan.uppsala.se|valsatraskolan@uppsala.se|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Tomas Rylander|54|55|55|59|65|78|120|121|121|111||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|50591943|Vattholmaskolan|Uppsala kommun|75375|UPPSALA|Malmvågsvägen 4|74391|VATTHOLMA|018-7277829|http://www.vattholmaskolan.uppsala.se|vattholmaskolan@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Katarina Östlund|38|42|28|38|29|28|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|17250578|von Bahrs skola|Uppsala kommun|75375|UPPSALA|Heidenstamsgatan 67|75427|UPPSALA|018-7275851|http://www.vonbahrsskola.se|exp@vonbahrsskola.se|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Christer Jones|49|65|34|45|40|47|74|55|46|46||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|61824203|Vänge skola|Uppsala kommun|75375|UPPSALA|Prostvägen 1|74020|VÄNGE|018-7278120|http://www.vangeskola.uppsala.se|vange.skola@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Markus Holgersson|43|53|52|37|44|42|39|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|48134074|Västra Stenhagenskolan|Uppsala kommun|75375|UPPSALA|Herrhagsvägen 8|75260|UPPSALA|018-7278825|http://www.skola.uppsala.se/sv/Vastra-Stenhagenskolam/Vastra-Stenhagenskolan|vastra.stenhagenskolan@uppsala.se|J|J|J|J|J|J|J|J|J|J|UPPSALA KOMMUN|Alper Yilmas|28|28|25|25|21|22|16|63|50|62||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|87542831|Växthuset|Uppsala kommun|75375|UPPSALA|Stenhammarsväg 3|75649|UPPSALA|018-7274986|http://www.vaxthuset.uppsala.se|vaxthuset.forskola-skola@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Ann-Catrin Malmmark Svensson|44|50|46|40|31|39|0|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|64760168|Ångelstaskolan|Uppsala kommun|75375|UPPSALA|Vitkålsgatan 83|75449|UPPSALA|018-7276976|http://www.arsta-angelsta.nu|arsta-angelsta@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Carina Bellbring|47|52|52|55|57|28|18|0|0|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|79320489|Årstaskolan|Uppsala kommun|75375|UPPSALA|Sparrisgatan 4|75446|UPPSALA|018-7277536|http://www.arsta-angelsta.nu|arsta-angelsta@uppsala.se|J|J|J|J|J|J|N|N|N|N|UPPSALA KOMMUN|Carina Bellbring|83|76|64|75|63|59|57|74|52|0||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|64800741|Ärentunaskolan|Uppsala kommun|75375|UPPSALA|Ärentunavägen 1|74330|STORVRETA|018-7277775|http://www.arentunaskolan.uppsala.se|arentunaskolan@uppsala.se|N|N|N|N|N|N|J|J|J|J|UPPSALA KOMMUN|Leif Ericsson|0|0|0|0|0|0|123|127|127|135||Kommuner
Kommunal|2120003005|03|Uppsala län|0380|Uppsala|18020988|Östra Stenhagenskolan|Uppsala kommun|75375|UPPSALA|Kullerstensvägen 6|75260|UPPSALA|018-7276486|http://www.stenhagenskolan.uppsala.se|expeditionen.stenhagenskolan@uppsala.se|J|J|J|J|J|J|J|N|N|N|UPPSALA KOMMUN|Alper Yilmas|60|67|49|53|39|43|26|0|0|0||Kommuner
Enskild|5565716650|03|Uppsala län|0381|Enköping|73178642|Bergtallens skola|Villberga, Backa Kvarn 5|74951|GRILLBY|Villberga, Backa Kvarn 5|74951|GRILLBY|0171-470043|http://www.villberga.com|magnus.edlund@villberga.com|N|N|N|N|N|N|N|J|J|J|VILLBERGA FAMILJECENTER AKTIEBOLAG|Per Hjellström|0|0|0|0|0|0|0|1|1|7|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000282|03|Uppsala län|0381|Enköping|56521117|Bergvretenskolan|Kantarellgatan 1|74944|ENKÖPING|Kantarellgatan 1|74944|ENKÖPING|0171-626700|http://www.enkoping.se|bergvretenskolan@bergvreten.enkoping.se|J|J|J|J|J|J|J|J|J|J|ENKÖPINGS KOMMUN|Dennis Holm|74|69|69|81|71|68|65|61|73|70||Kommuner
Enskild|5568148117|03|Uppsala län|0381|Enköping|97000303|Entréskolan Enköping|St. Larsgatan 2C|74534|ENKÖPING|St. Larsgatan 2C|74534|ENKÖPING|010-2070777|http://www.entreskolan.se|info.enkoping@entreskolan.se|N|N|N|N|J|J|J|J|J|J|AmiSgo AB|Heidi Jansson|0|0|0|0|9|8|14|27|27|24|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000282|03|Uppsala län|0381|Enköping|12753670|Enöglaskolan|Västerleden 155|74562|ENKÖPING|Västerleden 155|74562|ENKÖPING|0171-625990|http://www.enkoping.se|enoglaskolan@enogla.enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Eva Wadell|31|41|43|48|38|32|35|0|0|0||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|94821900|Fjärdhundraskolan|Skolvägen 7|74970|FJÄRDHUNDRA|Skolvägen 7|74970|FJÄRDHUNDRA|0171-626820|http://www.enkoping.se|fjardhundraskolan@fjardhundra.enkoping.se|J|J|J|J|J|J|J|J|J|J|ENKÖPINGS KOMMUN|Anna Salmela|31|34|32|42|35|35|31|25|40|25||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|69708298|Grillbyskolan|Storgatan 33|74952|GRILLBY|Storgatan 33|74952|GRILLBY|0171-626840|http://www.enkoping.se|grillbyskolan@grillby.enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Frida Johansson|23|28|25|31|17|25|13|0|0|0||Kommuner
Enskild|5560354309|03|Uppsala län|0381|Enköping|22106773|Hindens Skola|Västerleden 155|74562|ENKÖPING|Västerleden 155|74562|ENKÖPING|0171-82650|http://www.pysslingen.se/hindensskola|hindensskola@pysslingen.se|J|J|J|J|J|J|J|N|N|N|PYSSLINGEN FÖRSKOLOR OCH SKOLOR AB|Jane Gorevitz|31|19|19|17|20|15|15|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000282|03|Uppsala län|0381|Enköping|89762772|Hummelstaskolan|Gamla vägen 34|74571|ENKÖPING|Gamla vägen 34|74571|ENKÖPING|0171-627050|http://www.enkoping.se|eva.wikberg@enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Eva Wikberg|28|30|31|30|47|21|22|0|0|0||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|96757645|Korsängsskolan|Korsängsgatan 10|74949|ENKÖPING|Korsängsgatan 10|74949|ENKÖPING|0171-626760|http://www.enkoping.se|korsangsskolan@korsang.enkoping.se|J|J|J|J|J|J|J|J|J|J|ENKÖPINGS KOMMUN|Linda Lindahl|69|48|37|54|44|45|36|63|60|48||Kommuner
Enskild|5565661815|03|Uppsala län|0381|Enköping|67723630|Kunskapsskolan Enköping|Östra Järnvägsgatan 8|74537|ENKÖPING|Östra Järnvägsgatan 8|74537|ENKÖPING|08-50691270|http://www.kunskapsskolan.se|info.enkoping@kunskapsskolan.se|N|N|N|N|J|J|J|J|J|J|KUNSKAPSSKOLAN I SVERIGE AKTIEBOLAG|Anders Danielsson |0|0|0|0|0|22|69|86|78|85|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000282|03|Uppsala län|0381|Enköping|22410547|Lillkyrkaskolan|Skolvägen 2|74597|ENKÖPING|Skolvägen 2|74597|ENKÖPING|0171-626800|http://www.enkoping.se|lillkyrkaskolan@lillkyrka.enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Frida Johansson|22|20|17|20|9|30|20|0|0|0||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|70152961|Munksundsskolan|Västerleden 155|74562|ENKÖPING|Västerleden 155|74562|ENKÖPING|0171-36253|http://www.enkoping.se|munksundsskolan@munksund.enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Annie Lundin|40|42|50|49|38|53|38|0|0|0||Kommuner
Enskild|5568086085|03|Uppsala län|0381|Enköping|89708433|Robinson Fanna|Gånstavägen 7|74942|ENKÖPING|Gånstavägen 7|74942|ENKÖPING|0171-30707|http://www.robinson.nu|fanna@robinson.nu|J|J|J|J|J|J|N|N|N|N|Aktiebolaget Fria Skolor i Enköping|Lisa Melberg|12|13|12|12|12|11|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5568086085|03|Uppsala län|0381|Enköping|72849973|Robinson Husberg|Vitriskagatan 67|74945|ENKÖPING|Vitriskagatan 67|74945|ENKÖPING|0171-30607|http://www.robinson.nu|husberg@robinson.nu|J|J|J|J|J|J|N|N|N|N|Aktiebolaget Fria Skolor i Enköping|Lisa Melberg|12|12|12|12|12|12|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5568086085|03|Uppsala län|0381|Enköping|71071044|Robinson Svedia|Ripgatan 32|74562|ENKÖPING|Ripgatan 32|74562|ENKÖPING|0171-30507|http://www.robinson.nu|svedia@robinson.nu|J|J|J|J|J|J|N|N|N|N|Aktiebolaget Fria Skolor i Enköping|Lisa Melberg|11|13|12|12|13|12|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5568086085|03|Uppsala län|0381|Enköping|83519502|Robinson Vårfru|Tullgatan 19 A|74530|ENKÖPING|Tullgatan 19 A|74530|ENKÖPING|0171-30906|http://www.robinson.nu|varfru@robinson.nu|N|N|N|N|N|N|J|J|J|J|Aktiebolaget Fria Skolor i Enköping|Lisa Melberg|0|0|0|0|0|0|31|30|27|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000282|03|Uppsala län|0381|Enköping|15287785|Rombergaskolan|Torgbacken|74539|ENKÖPING|Torgbacken|74539|ENKÖPING|0171-626740|http://www.enkoping.se|rombergaskolan@romberga.enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Sofie Friberg|35|32|22|27|32|29|32|0|0|0||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|34699165|S:t Iliansskolan|Box194|74523|ENKÖPING|Fjärdhundragatan 14|74534|ENKÖPING|0171-627100|http://www.enkoping.se|iliansskolan@ilian.enkoping.se|N|N|N|N|N|N|N|J|J|J|ENKÖPINGS KOMMUN|Elaine Westerberg|0|0|0|0|0|0|0|147|135|165||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|30265734|Skolstaskolan|Björkebovägen 8|74951|GRILLBY|Björkebovägen 8|74951|GRILLBY|0171-474150|http://www.enkoping.se|skolstaskolan@skolsta.enkoping.se|J|J|J|J|J|J|J|N|N|N|ENKÖPINGS KOMMUN|Maria Flinck Thunberg|27|33|24|33|28|22|31|0|0|0||Kommuner
Kommunal|2120000282|03|Uppsala län|0381|Enköping|98587494|Örsundsbroskolan|Skolvägen 2|74960|ÖRSUNDSBRO|Skolvägen 2|74960|ÖRSUNDSBRO|0171-415120|http://www.enkoping.se|orsundsbroskolan@orsundsbro.enkoping.se|J|J|J|J|J|J|J|J|J|J|ENKÖPINGS KOMMUN|John Danielsson|60|62|47|48|51|46|45|42|38|46||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|37217528|Edsskolan|Tomtbergavägen 5|74235|ÖSTHAMMAR|Tomtbergavägen 5|74792|ÖSTHAMMAR|0173-86326|http://www.osthammar.se/edsskolan|edsskolan@edu.osthammar.se|J|J|J|J|J|J|J|N|N|N|ÖSTHAMMARS KOMMUN|Cecilia Eriksson|39|33|39|48|38|47|45|0|0|0||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|71534291|Ekeby skola|Marmavägen 12|74730|ALUNDA|Ekeby|74892|ALUNDA|0174-85865|http://www.osthammar.se/ekebyskola|ekeby@edu.osthammar.se|J|J|J|J|N|N|N|N|N|N|ÖSTHAMMARS KOMMUN|Michael Greifeneder|7|1|9|0|0|0|0|0|0|0||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|98029852|Frösåkersskolan|Tomtbergavägen 4|74235|ÖSTHAMMAR|Tomtebergavägen 4|74741|ÖSTHAMMAR|0173-86281|http://www.osthammar.se/frosakersskolan|frosakersskolan@edu.osthammar.se|N|N|N|N|N|N|N|J|J|J|ÖSTHAMMARS KOMMUN|Håkan Blom|0|0|0|0|0|0|0|79|76|80||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|92009678|Gräsö skola|Klockarhagen 5|74297|GRÄSÖ|Klockarhagen 5|74741|GRÄSÖ|0173-86533|http://www.osthammar.se/grasoskola|graso@edu.osthammar.se|J|J|J|J|N|N|N|N|N|N|ÖSTHAMMARS KOMMUN|Cathrin Lundegård|3|4|6|1|0|0|0|0|0|0||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|27232649|Hammarskolan|Skolgatan 11|74741|GIMO|Skolgatan 11|74740|GIMO|0173-86705|http://www.osthammar.se/hammarskolan|hammarskolan@edu.osthammar.se|N|N|N|J|J|J|N|N|N|N|ÖSTHAMMARS KOMMUN|Lennart Ljungstrand|0|0|0|44|43|32|0|0|0|0||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|18135815|Kristinelundskolan|Kyrkogatan 30|74231|ÖSTHAMMAR|Kyrkogatan 30|74891|ÖSTHAMMAR|0173-86331|http://www.osthammar.se/kristinelundskolan|kristinelundskolan@edu.osthammar.se|J|J|J|J|J|J|J|N|N|N|ÖSTHAMMARS KOMMUN|Cathrin Lundegård|24|18|24|24|19|24|20|0|0|0||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|90876801|Olandsskolan F-9|Marmavägen 12|74730|ALUNDA|Marmavägen 12|74740|ALUNDA|0173-85802|http://www.osthammar.se/olandsskolan|olandsskolan@edu.osthammar.se|J|J|J|J|J|J|J|J|J|J|ÖSTHAMMARS KOMMUN|Michael Greifender|42|50|58|57|57|48|41|54|57|38||Kommuner
Kommunal|2120000290|03|Uppsala län|0382|Östhammar|24936340|Snesslinge skola|Snesslinge 185|74293|ÖSTHAMMAR|Snesslinge|74740|ÖSTHAMMAR|0173-86520|http://www.osthammar.se/snesslingeskola|snesslinge.skola@edu.osthammar.se|J|J|J|J|N|N|N|N|N|N|ÖSTHAMMARS KOMMUN|Cecilia Eriksson|7|5|9|6|0|0|0|0|0|0||Kommuner
